role,name,component,part,attachment,material_set,transform_readback_max_abs_error,status,servo_id,color_hex,mechanical_semantics
source_link_surface,shoulder_yaw_left,ZEROTH01_LINK_LEFT_SHOULDER_YAW_2-1,generated\solidworks\parts\ZEROTH01_LINK_LEFT_SHOULDER_YAW_2.SLDPRT,shoulder_yaw_left,True,2.220e-16,PASS,,,
source_link_surface,shoulder_yaw_right,ZEROTH01_LINK_RIGHT_SHOULDER_YAW_2-1,generated\solidworks\parts\ZEROTH01_LINK_RIGHT_SHOULDER_YAW_2.SLDPRT,shoulder_yaw_right,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_CHEST_FRONT,ZEROTH01_ROUND_V1_CHEST_FRONT-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_FRONT.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_CHEST_BACK,ZEROTH01_ROUND_V1_CHEST_BACK-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_BACK.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_HEAD_FRONT,ZEROTH01_ROUND_V1_HEAD_FRONT-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_FRONT.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_HEAD_BACK,ZEROTH01_ROUND_V1_HEAD_BACK-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_BACK.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_PELVIS_FRONT,ZEROTH01_ROUND_V1_PELVIS_FRONT-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_FRONT.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_PELVIS_BACK,ZEROTH01_ROUND_V1_PELVIS_BACK-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_BACK.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_MUZZLE,ZEROTH01_ROUND_V1_MUZZLE_BADGE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_MUZZLE_BADGE.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_VISOR,ZEROTH01_ROUND_V1_VISOR_BADGE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_VISOR_BADGE.SLDPRT,Torso,True,0.000e+00,PASS,,,
sensor_window_visual,ROUND_CAMERA_LENSES,ZEROTH01_ROUND_V1_CAMERA_LENSES-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_LENSES.SLDPRT,Torso,True,0.000e+00,PASS,,,
internal_parent_frame_structure,ROUND_TORSO_SPINE,ZEROTH01_ROUND_V1_TORSO_SPINE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_TORSO_SPINE.SLDPRT,Torso,True,0.000e+00,PASS,,,
selected_vendor_head_display_exact_step,ROUND_EYE_DISPLAY_MODULE,ZEROTH01_ROUND_V2_EYE_DISPLAY_MODULE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V2_EYE_DISPLAY_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,
selected_vendor_camera_exact_step,ROUND_CAMERA_MODULE,ZEROTH01_ROUND_V1_CAMERA_MODULE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,
selected_sensor_assumed_carrier_envelope,ROUND_TOF_MODULE,ZEROTH01_ROUND_V2_TOF_MODULE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V2_TOF_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,
assumed_rl_electronics_envelope,ROUND_IMU_MODULE,ZEROTH01_ROUND_V1_IMU_MODULE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_IMU_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,
assumed_rl_electronics_envelope,ROUND_COMPUTE_MODULE,ZEROTH01_ROUND_V1_COMPUTE_MODULE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_COMPUTE_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,
assumed_rl_electronics_envelope,ROUND_BATTERY_PACK,ZEROTH01_ROUND_V1_BATTERY_PACK-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_BATTERY_PACK.SLDPRT,Torso,True,0.000e+00,PASS,,,
round_v1_printed_overlay,ROUND_LEFT_SOLE,ZEROTH01_ROUND_V1_LEFT_SOLE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_LEFT_SOLE.SLDPRT,foot_left,True,2.220e-16,PASS,,,
round_v1_printed_overlay,ROUND_RIGHT_SOLE,ZEROTH01_ROUND_V1_RIGHT_SOLE-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_RIGHT_SOLE.SLDPRT,foot_right,True,2.220e-16,PASS,,,
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_shoulder_pitch,ZEROTH01_ROUND_V1_JOINT_RING-1,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,Torso,True,0.000e+00,PASS,S01,#E6194B,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_shoulder_pitch,ZEROTH01_ROUND_V1_JOINT_RING-2,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,Torso,True,2.220e-16,PASS,S02,#3CB44B,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_shoulder_yaw,ZEROTH01_ROUND_V1_JOINT_RING-3,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,shoulder_yaw_right,True,2.220e-16,PASS,S03,#4363D8,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_hip_pitch,ZEROTH01_ROUND_V1_JOINT_RING-4,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,Torso,True,2.220e-16,PASS,S04,#F58231,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_hip_pitch,ZEROTH01_ROUND_V1_JOINT_RING-5,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,Torso,True,2.220e-16,PASS,S05,#911EB4,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_shoulder_yaw,ZEROTH01_ROUND_V1_JOINT_RING-6,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,shoulder_yaw_left,True,1.110e-16,PASS,S06,#42D4F4,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_hip_yaw,ZEROTH01_ROUND_V1_JOINT_RING-7,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,hip_yaw_right,True,2.220e-16,PASS,S07,#F032E6,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_hip_yaw,ZEROTH01_ROUND_V1_JOINT_RING-8,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,hip_yaw_left,True,0.000e+00,PASS,S08,#BFEF45,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_elbow_yaw,ZEROTH01_ROUND_V1_JOINT_RING-9,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,right_shoulder_yaw_motor,True,2.220e-16,PASS,S09,#FABED4,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_elbow_yaw,ZEROTH01_ROUND_V1_JOINT_RING-10,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,left_shoulder_yaw_motor,True,2.220e-16,PASS,S10,#469990,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_hip_roll,ZEROTH01_ROUND_V1_JOINT_RING-11,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,hip_roll_right,True,2.220e-16,PASS,S11,#DCBEFF,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_hip_roll,ZEROTH01_ROUND_V1_JOINT_RING-12,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,hip_roll_left,True,2.220e-16,PASS,S12,#9A6324,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_knee_pitch,ZEROTH01_ROUND_V1_JOINT_RING-13,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,knee_pitch_right,True,2.220e-16,PASS,S13,#FFE119,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_knee_pitch,ZEROTH01_ROUND_V1_JOINT_RING-14,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,knee_pitch_right_2,True,1.110e-16,PASS,S14,#000075,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,right_ankle_pitch,ZEROTH01_ROUND_V1_JOINT_RING-15,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,ankle_pitch_right,True,2.220e-16,PASS,S15,#FF6F61,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
nonphysical_colored_joint_position_marker_original_mechanism_unchanged,left_ankle_pitch,ZEROTH01_ROUND_V1_JOINT_RING-16,generated\solidworks\round_v1\parts\ZEROTH01_ROUND_V1_JOINT_RING.SLDPRT,ankle_pitch_left,True,2.220e-16,PASS,S16,#006B3C,"marker follows parent-side joint frame; it is not a servo, horn, gear, cage or printed part"
